"word","phonetic","meaning_zh","example","tags"
"defeat","dɪ'fit","战胜，击败；挫败","They hoped to defeat the enemy at sea.","CET4luan_2"
"defect","‘dɪfɛkt","缺点，缺陷，欠缺","All the cars are tested for defects before they leave the factory.","CET4luan_2,CET6_1"
"defence","di'fens","防御；防务；辩护","soldiers who died in defence of their country","CET4luan_2"
"defend","dɪ'fɛnd","保卫，防守","a struggle to defend our homeland","CET4luan_2"
"defensive","dɪ'fɛnsɪv","防守的，防御的","The prince drew up his forces in a strong defensive position.","CET6_1"
"deficient","dɪ'fɪʃnt","不足的，缺乏的","Women who are dieting can become iron deficient.","CET6_1"
"deficit","'dɛfəsɪt","赤字","the country’s widening budget deficit","CET6_1"
"define","dɪ'faɪn","给…下定义；限定","I’ll now try to define the term ‘popular culture’.","CET4luan_2"
"definite","'dɛfɪnət","明确的；肯定的","It’s impossible for me to give you a definite answer.","CET4luan_2,CET6_1"
"definitely","'dɛfɪnətli","一定地，明确地","‘Do you reckon Margot will be there?’ ‘ Definitely not .’","CET4luan_2"
"definition",",dɛfɪ'nɪʃən","定义，释义；定界","a dictionary definition","CET4luan_2"
"deforestation",",di,fɔrɪ'steʃən","砍伐森林","the deforestation of the tropics","CET6_1"
"defy","'difaɪ","违背，违抗","people who openly defy the law","CET6_1"
"degeneration","dɪ,dʒɛnə'reʃən","退化，变质","Instead, if you do not use your mental faculties, you accelerate the degeneration of cells and the loss of your cognitive abilities.","CET6_1"
"degree",,"度；学位","Preheat the oven to 425 degrees.","CET4luan_2"
"delay","dɪ'le","耽搁；延误；推迟","The flight was badly delayed because of fog.","CET4luan_2"
"delegation",",dɛlɪ'ɡeʃən","代表团","A trade delegation will visit Kuwait.","CET4luan_2"
"delete","dɪ'lit","删除；擦掉","His name was deleted from the list.","CET4luan_2"
"deliberate","dɪ'lɪbərət","故意的","a deliberate attempt to humiliate her","CET6_1"
"delicate","ˈdɛlɪkɪt","纤细的；易碎的","his delicate hands","CET4luan_2,CET6_1"
"delicious","dɪ'lɪʃəs","美味的；怡人的","‘The meal was absolutely delicious,’ she said politely.","CET4luan_2"
"delight","dɪ'laɪt","快乐","The kids were screaming with delight.","CET4luan_2"
"deliver","dɪ'lɪvɚ","投递，送交；发表","The morning mail has just been delivered.","CET4luan_2,CET6_1"
"delivery","dɪ'lɪvəri","投递；交付；分娩","Most Indian restaurants offer free delivery.","CET4luan_2"
"demand","dɪ'mænd","要求；询问；需要","Angry demonstrators demanded the resignation of two senior officials.","CET4luan_2"
"democracy","dɪˈmɑkrəsi","民主制；民主","a return to democracy after 16 years of military rule","CET4luan_2,CET6_1"
"democratic","'dɛmə'krætɪk","民主的，民主政体的","a democratic government","CET4luan_2"
"demonstrate","'dɛmən'stret","说明；论证；表露","The study demonstrates the link between poverty and malnutrition.","CET4luan_2"
"demonstration",",dɛmən'streʃən","展示；游行","Supporters staged a demonstration outside the US embassy.","CET6_1"
"denationalize",",di'næʃnəlaɪz","使非国有化","The government started to denationalize financial institutions.","CET6_1"
"dense","dɛns","密集的；浓厚的","a dense rurally-based population","CET4luan_2"
"density","'dɛnsəti","密集，稠密；密度；〔物质的〕密度","areas of high population density","CET4luan_2,CET6_1"
"deny","dɪ'nai","否定；拒绝相信","The government denied the existence of poverty among 16- and 17-year-olds.","CET4luan_2,CET6_1"
"depart","dɪ'pɑrt","离开，起程；出发","Flights by Air Europe depart Gatwick on Tuesdays.","CET4luan_2"
"department","dɪ'pɑrtmənt","部，司，局，处，系","the personnel department","CET4luan_2"
"departure","dɪ'pɑrtʃɚ","离开，出发，起程","I saw Simon shortly before his departure for Russia.","CET4luan_2"
"depend","dɪ'pɛnd","依靠，依赖；相信","He depended on his writing for his income.","CET4luan_2"
"dependent","dɪ'pɛndənt","依靠的，依赖的","Jan’s mother was dependent on her for physical care.","CET4luan_2"
"deposit","dɪ'pɑzɪt","使沉淀；存放","As the river slows down, it deposits a layer of soil.","CET4luan_2,CET6_1"
"depress","dɪ'prɛs","使沮丧；按下","The thought of taking the exam again depressed him.","CET4luan_2"
"deprivation",",dɛprɪ'veʃən","剥夺，匮乏","Sleep deprivation can result in mental disorders.","CET6_1"
"deprive","dɪ'praɪv","剥夺","They've been deprived of the fuel necessary to heat their homes.","CET6_1"
"depth","dɛpθ","深度；深厚；深处","What's the depth of the water here?","CET4luan_2"
"derail","dɪ'rel","脱轨","At least six people were killed and about twenty injured when a train was derailed in an isolated mountain region.","CET6_1"
"derive","dɪ'raɪv","取得；起源","Medically, we will derive great benefit from this technique.","CET4luan_2,CET6_1"
"descend","dɪ'sɛnd","下来，下降；下倾","Our plane started to descend.","CET4luan_2"
"descendant","dɪ'sɛndənt","子孙后代","He was a direct descendant of Napoleon Bonaparte.","CET6_1"
"descent","dɪ'sɛnt","血统, 后裔","The authors show how this was triggered by his belief in the common descent of all humans.","CET6_1"
"describe","dɪ'skraɪb","形容；描写，描绘","The police asked her to describe the man.","CET4luan_2"
"description","dɪ'skrɪpʃən","描写，形容；种类","The booklet gives a brief description of each place.","CET4luan_2"
"descriptive","dɪ'skrɪptɪv","描写的，描述的","the descriptive passages in the novel","CET6_1"
"desert","(for v.) dɪˈzɝ​t; (for n.) 'dɛzɚt","沙漠","the Sahara Desert","CET4luan_2,CET6_1"
"deserve","dɪ'zɝv","应受；值得","What have I done to deserve this?","CET4luan_2,CET6_1"
"design","dɪ'zaɪn","设计","The tower was designed by Gilbert Scott.","CET4luan_2"
"designate","'dɛzɪɡnet","指定，委派","Some of the rooms were designated as offices.","CET6_1"
"desirable","dɪ'zaɪərəbl","值得相望的；可取的","The ability to speak a foreign language is highly desirable .","CET4luan_2"
"desire","dɪ'zaɪɚ","中文释义；想要：要求","The hotel has everything you could possibly desire.","CET4luan_2"
"desk",,"书桌，办公桌","Marie was sitting at her desk.","CET4luan_2"
"despair","dɪ'spɛr","绝望","To the despair of the workers, the company announced the closure of the factory.","CET4luan_2"
"desperate","'dɛspərət","拼死的；绝望的","I had no money left and was desperate.","CET4luan_2,CET6_1"
"despise","dɪ'spaɪz","鄙视，蔑视","She despised her neighbours.","CET4luan_2"
"despite","dɪ'spaɪt","尽管，虽然，任凭","Despite all our efforts to save the school, the authorities decided to close it.","CET4luan_2"
"destination",",dɛstɪ'neʃən","目的地，终点","Ellis Island has become one of America's most popular tourist destinations.","CET4luan_2,CET6_1"
"destroy","dɪ'strɔɪ","破坏；消灭；打破","companies that are polluting and destroying the environment","CET4luan_2"
"destruction","dɪ'strʌkʃən","破坏，毁灭，消灭","weapons of mass destruction","CET4luan_2"
"destructive","dɪ'strʌktɪv","破坏性的，毁灭性的","the destructive power of modern weapons","CET6_1"
"detached","dɪ'tætʃt","冷漠的，超然的","Try to take a more detached view .","CET6_1"
"detail","'ditel","细节；枝节","Tell me the main points now; leave the details till later.","CET4luan_2"
"detect","dɪ'tɛkt","察觉，发觉；侦察","Many forms of cancer can be cured if detected early.","CET4luan_2,CET6_1"
"detection",,"察觉，发觉；侦察","Early detection of the disease is vital.","CET4luan_2"
"detective","dɪ'tɛktɪv","侦探","She hired a detective to find out if her husband was having an affair.","CET6_1"
"deteriorate","dɪ'tɪrɪəret","恶化","Ethel’s health has deteriorated.","CET6_1"
"deterioration","dɪ,tɪrɪə'reʃən","恶化，退化","A reading over 50 indicates an expansion of activity in the manufacturing sector, while one below 50 suggests a deterioration.","CET6_1"
"determination","dɪˌtɜːrmɪˈneɪʃn","决心；决定；确定","his dogged determination (= very strong determination ) to succeed","CET4luan_2"
"determine","dɪ'tɝmɪn","查明；决定；决心","Investigators are still trying to determine the cause of the fire.","CET4luan_2,CET6_1"
"develop","dɪ'vɛləp","发展；形成；开发","Knowledge in the field of genetics has been developing very rapidly.","CET4luan_2"
"development","dɪ'vɛləpmənt","发展；生长；开发","child development","CET4luan_2"
"deviate","'divɪet","偏离","They stopped you as soon as you deviated from the script.","CET6_1"
"device",,"器械，装置","modern labour-saving devices","CET4luan_2"
"devil","'dɛvl","魔鬼，恶魔","The villagers believed a devil had taken control of his body.","CET4luan_2"
"devise","dɪ'vaɪz","设计，发明","She devised a method for quicker communications between offices.","CET4luan_2"
"devote","dɪ'vot","将…奉献，致力于","He decided to devote the rest of his life to scientific investigation.","CET4luan_2"
"dew","du","露，露水","The dew gathered on the leaves.","CET4luan_2"
"diagnose",",daɪəɡ'nos","诊断","How did they diagnose you?","CET6_1"
"diagram","'daɪəɡræm","图解，图表，简图","a diagram of the heating system","CET4luan_2"
"dial","'daɪəl","钟面；拨号盘","The lighted dial of her watch said 1.20.","CET4luan_2"
"dialect","'daɪə'lɛkt","方言，土语，地方话","the local dialect","CET4luan_2"
"dialog","'daɪə,lɑg","对话，对白","a boring movie full of bad dialog","CET4luan_2"
"diameter","daɪ'æmɪtɚ","直径","Draw a circle six centimetres in diameter.","CET4luan_2"
"diamond","'daɪəmənd","金钢石，钻石；菱形","a diamond engagement ring","CET4luan_2"
"diary","'daɪəri","日记，日记簿","Inge kept a diary (= wrote in a diary ) during the war years.","CET4luan_2"
"dictate","'dɪktet","口授；命令","She’s dictating a letter to her secretary right now.","CET4luan_2"
"dictation","dɪk'teʃən","口授笔录；听写","There were no secretaries available to take dictation (= write down what someone is saying ).","CET4luan_2"
"dictionary","'dɪkʃə'nɛri","词典，字典","a German-English dictionary","CET4luan_2"
"die","daɪ","死，死亡；灭亡","He died in 1985 at the age of 76.","CET4luan_2"
"differ","'dɪfɚ","不同，相异","The two systems differ in many respects.","CET4luan_2"
"difference","'dɪfrəns","差别；差；分歧","There’s a big difference between knowing that something is true, and being able to prove it.","CET4luan_2"
"different","'dɪfrənt","差异的；各种的","American English is significantly different from British English.","CET4luan_2"
"difficult","'dɪfɪkəlt","困难的；难对付的","a difficult question","CET4luan_2"
"difficulty","'dɪfɪkəlti","困难；难事；困境","They had great difficulty in finding a replacement.","CET4luan_2"
"dig","dɪɡ","掘，挖；采掘","Dig down about 6 inches.","CET4luan_2"
"digest","daɪ'dʒɛst","消化；领会","Most babies can digest a wide range of food easily.","CET4luan_2"
"digital","'dɪdʒɪtl","数字的，计数的","digital TV","CET4luan_2"
"diligence","'dɪlɪdʒəns","勤奋","Genius is nothing but labor and diligence.","CET6_1"
"diligent","'dɪlɪdʒənt","勤勉的，勤奋的","a diligent student","CET4luan_2"
"dilute","daɪ'l(j)ut","稀释，冲淡","diluted fruit juice","CET6_1"
"dim","dɪm","昏暗的；朦胧的","in the dim light of the early dawn","CET4luan_2,CET6_1"
"dimension","dɪ'mɛnʃ(ə)n; daɪ-","尺寸，尺度；面积","a rectangle with the dimensions 5cm × 2cm","CET4luan_2,CET6_1"
"diminish","dɪ'mɪnɪʃ","减少","The party’s share of the electorate has diminished steadily.","CET6_1"
"dinner","'dɪnɚ","正餐，主餐；宴会","What time do you usually have dinner?","CET4luan_2"
"dip","dɪp","浸，蘸","Dip each apple in the syrup until thickly coated.","CET4luan_2"
"direct","dɪˈrɛkt; daɪˈrɛkt","直接的；直率的","Experienced users have direct access to the main data files.","CET4luan_2"
"direction",,"方向，方位；指导","Which direction did they go in?","CET4luan_2"
"directly","dəˈrektli","直接地；立即","The new property tax law won’t directly affect us.","CET4luan_2"
"director","dɪˈrɛktɚ; daɪˈrɛktɚ","理事；导演；指导者；负责人","The company is run by a board of directors (= a group of directors ) .","CET4luan_2"
"dirt","dɝt","尘，污物，污垢；土","You should have seen the dirt on that car!","CET4luan_2"
"dirty","ˈdɝ​tɪ","脏的；下流的","a stack of dirty dishes in the sink","CET4luan_2"
"disable","dɪs'ebl","使无能，使伤残","Carter was permanently disabled in the war.","CET4luan_2"
"disadvantage",",dɪsəd'væntɪdʒ","不利，不利地位","Criminal behaviour can be linked to economic disadvantage.","CET4luan_2,CET6_1"
"disagree",",dɪsə'ɡri","有分歧；不一致","Barr strongly disagreed with Kronfeld’s statement.","CET4luan_2"
"disappear","'dɪsə'pɪr","消失；不见；失踪","At this point the path seemed to disappear altogether (= disappear completely ) .","CET4luan_2,CET6_1"
"disappoint","'dɪsə'pɔɪnt","使失望，使受挫折","I hated to disappoint her.","CET4luan_2"
"disarm","dɪs'ɑrm","解除，消除","Getting the rebels to disarm will not be easy.","CET6_1"
"disaster","dɪ'zæstɚ","灾难，灾祸；天灾","One hundred and twenty people died in China’s worst air disaster .","CET4luan_2"
"discard","dɪsˈkɑːrd","丢弃，抛弃，遗弃","Discard any old cleaning materials.","CET4luan_2"
"discern","dɪ'sɝn","识别","You need a long series of data to be able to discern such a trend.","CET6_1"
"discharge","dɪs'tʃɑrdʒ","释放；排出","Sewage is discharged directly into the sea.","CET4luan_2"
"discipline","'dɪsəplɪn","纪律；训练","Martial arts teach respect, discipline, and cooperation.","CET4luan_2,CET6_1"
"disclose","dɪs'kloz","揭开，揭发；透露","Some companies have already voluntarily disclosed similar information .","CET4luan_2"
"disconnect",",dɪskə'nɛkt","断开","The family agreed to disconnect her life support system.","CET6_1"
"discourage","dɪs'kɝɪdʒ","使泄气，使灰心","You should not let one failure discourage you.","CET4luan_2,CET6_1"
"discover","dɪ'skʌvɚ","发现","The body was discovered in a field.","CET4luan_2"
"discovery","dɪ'skʌvəri","发现；被发现的事物","the discovery of oil in Alaska","CET4luan_2"
"discriminate","dɪ'skrɪmɪnet","歧视；区别","He is incapable of discriminating between a good idea and a terrible one.","CET6_1"
"discrimination","dɪ,skrɪmɪ'neʃən","歧视","laws to prevent discrimination","CET6_1"
"discuss","dɪ'skʌs","讨论，谈论；论述","Littman refused to discuss the case publicly.","CET4luan_2"
"discussion","dɪ'skʌʃən","讨论，谈论；论述","class discussions","CET4luan_2"
"disease","dɪ'ziz","病，疾病；病害","His father died of heart disease.","CET4luan_2"
"disengagement",",dɪsɪn'gedʒmənt","分离，疏离感","This policy of disengagement from the European war had its critics.","CET6_1"
"disguise","dɪs'ɡaɪz","隐瞒，掩埋","He made no attempt to disguise his agitation.","CET4luan_2"
"disgust","dɪs'ɡʌst","厌恶，憎恶","Joan looked at him with disgust.","CET4luan_2"
"dish","dɪʃ","碟，盘子；菜肴","a serving dish","CET4luan_2"
"dishonest","dɪs'ɑnɪst","不诚实的","dishonest traders","CET6_1"
"dishonour","dɪs'ɑnɚ","不光彩；丢脸的人","You’ve brought enough dishonour on your family already without causing any more trouble.","CET4luan_2"
"disk","dɪsk","圆盘，唱片；磁盘","Red blood cells are roughly the shape of a disk.","CET4luan_2"
"dislike","dɪs'laɪk","不喜爱，厌恶","Why do you dislike her so much?","CET4luan_2"
"dismiss","dɪs'mɪs","不再考虑；解雇","He just laughed and dismissed my proposal as unrealistic.","CET4luan_2,CET6_1"
"disorder",,"骚乱；混乱，杂乱","A number of stadiums were closed because of crowd disorder.","CET4luan_2"
"dispatch","dɪ'spætʃ","发送，派遣","Goods are normally dispatched within 24 hours.","CET6_1"
"dispensable","dɪ'spɛnsəbl","可有可无的","Part-time workers are considered dispensable.","CET6_1"
"displace","dɪs'ples","取代","Coal has been displaced by natural gas as a major source of energy.","CET6_1"
"display","dɪ'sple","陈列，展览；显示","shop windows displaying the latest fashions","CET4luan_2"
"displease","dɪs'pliz","使不愉快，使生气","Are you displeased with my work?","CET4luan_2"
"disposal","dɪ'spozl","丢掉，处理，销毁","bomb disposal experts","CET4luan_2,CET6_1"
"dispose","dɪ'spoz","去掉，丢掉；销毁","the difficulties of disposing of nuclear waste","CET4luan_2"
"disproportionately",",disprə'pɔ:ʃənitli","比例不均地，不成比例地","Johnson’s aversion to this tax was part of his reluctance to ask for any sacrifices for the Vietnam War -- except from the disproportionately blue-collar army that was fighting it.","CET6_1"
"dispute","'dɪs'pjʊt","争论，争执","What happened next is hotly disputed.","CET4luan_2"
"dissatisfy","dɪs'sætɪs,fai","使不满，使不平","Envy may dissatisfy us with our lot.","CET4luan_2"
"disservice","dɪs'sɝvɪs","帮倒忙，危害","He said the protesters were doing a disservice to the nation.","CET6_1"
"dissolve","dɪ'zɑlv","使溶解；解散","Stir until the sugar dissolves.","CET4luan_2"
"distance","'dɪstəns","距离，间距；远处","Measure the distance between the two points.","CET4luan_2"
"distant","'dɪstənt","在远处的；疏远的","the sound of distant gunfire","CET4luan_2"
"distinct","dɪ'stɪŋkt","与其它不同的","two entirely distinct languages","CET4luan_2"
"distinction","dɪ'stɪŋkʃən","差别，不同，区分","the distinction between formal and informal language","CET4luan_2,CET6_1"
"distinctive","dɪ'stɪŋktɪv","与众不同的","a rock band with a distinctive sound","CET6_1"
"distinguish","dɪ'stɪŋɡwɪʃ","区别，辨别；认别","Could he distinguish right from wrong?","CET4luan_2"
"distort","dɪ'stɔrt","扭曲","His account was badly distorted by the press.","CET6_1"
"distract","dɪ'strækt","分心，分散注意","Try not to distract the other students.","CET6_1"
"distress","dɪ'strɛs","忧虑，悲伤","Luke’s behaviour caused his parents great distress.","CET4luan_2"
"distribute","dɪ'strɪbjut","分发，分送；分布","a man distributing leaflets to passers-by","CET4luan_2"
"distribution","'dɪstrə'bjʊʃən","分发，分配；分布","the distribution of aid supplies","CET4luan_2,CET6_1"
"district","'dɪstrɪkt","地区，区域；区","a house in a pleasant suburban district","CET4luan_2"
"disturb","dɪ'stɝb","打扰，扰乱；弄乱","Sorry to disturb you, but I have an urgent message.","CET4luan_2"
"ditch","dɪtʃ","沟，沟渠，渠道","Both vehicles ended up in a ditch.","CET4luan_2"
"dive","daɪv","跳水；潜水；俯冲","Diving off the cliffs is dangerous.","CET4luan_2"
"diverse","daɪ'vɝs","不一样的，相异的","subjects as diverse as pop music and archaeology","CET4luan_2,CET6_1"
"diversion","dəˈvɝʒən; dəˈvɝʃən; daɪˈvɝʒən; daɪˈvɝʃən","转移；娱乐","...the illegal diversion of profits from secret arms sales.","CET6_1"
"diversity","dɪˈvəsɪti","多样性","...the cultural diversity of Latin America.","CET6_1"
"divert","dɪˈvɚt","转移","The high street is closed and traffic is being diverted .","CET6_1"
"divide","dɪ'vaɪd","分；分开；分配","The book is divided into six sections.","CET4luan_2"
"dividend","'dɪvɪdɛnd","分红，红利","You may get the dividend, but possibly not the capital appreciation.","CET6_1"
"division","də'vɪʒən","分，分配；除法","the traditional division of labour (= the way that particular tasks are shared ) between husband and wife","CET4luan_2,CET6_1"
"divorce",,"离婚，离异","Why doesn’t she get a divorce?","CET4luan_2"
"do","du","（用于实义动词前构成否定句和疑问句）","I don't like fish.","CET4luan_2"
"dock","dɑk","船坞；码头","A crowd was waiting at the dock to greet them.","CET4luan_2"
"doctor","'dɑktɚ","医生，医师；博士","She was treated by her local doctor.","CET4luan_2"
"document","dɑkjəmənt","公文，文件；证件","She produces legal documents for a downtown Seattle law firm.","CET4luan_2"
"documentary","'dɑkjə'mɛntri","纪录片","...a TV documentary on homelessness.","CET6_1"
"dog","dɔɡ","狗，犬；犬科动物","I could hear a dog barking .","CET4luan_2"
"dollar","'dɑlɚ","元〔美国、加拿大、澳大利亚等国的货币单位〕","It cost three dollars.","CET4luan_2"
"dolphin","'dɑlfɪn","海豚","By hunting or gathering away from the group, both chimpanzee and dolphin moms ensure that what they find goes to their young.","CET6_1"
"domain","do'men","领域","Looking after the house was viewed as a woman’s domain.","CET6_1"
"domestic","də'mɛstɪk","本国的；家庭的","the booming domestic economy","CET4luan_2,CET6_1"
"dominate","'dɑmɪnet","主导，主宰","The industry is dominated by five multinational companies.","CET6_1"
"donkey","'dɔŋki","驴",,"CET4luan_2"
"donor","'donɚ","捐赠者","We urgently need more assistance from donor countries (= countries that give money, food etc to help in poor countries or disaster areas ) .","CET6_1"
"door","dɔr","门；通道；一家","Could you open the door for me?","CET4luan_2"
"dorm","dɔrm","宿舍","But I had no food in my dorm, so I had to go to canteen.","CET4luan_2,CET6_1"
"dormitory","'dɔrmətɔri","集体寝室；宿舍","She lived in a college dormitory.","CET4luan_2"
"dose","dos","剂量，用量；一剂","Never exceed the recommended dose of painkillers","CET4luan_2"
"dot","dɑt","点，圆点","a pattern of dots","CET4luan_2"
"double","'dʌbl","双的；两倍的","a double sink","CET4luan_2"
"doubt","daʊt","怀疑；疑虑","There was still one little nagging doubt at the back of his mind.","CET4luan_2"
"doubtful","'daʊtfəl","难以预测的；怀疑的","Prospects for a lasting peace remain doubtful.","CET4luan_2"
"doubtless","'daʊtləs","无疑地；很可能","Doubtless there would be lots of rumours.","CET4luan_2"
"down","daʊn","向下；在下面","David bent down to tie his shoelace.","CET4luan_2"
"downstairs","'daʊn'stɛrz","在楼下","Rosie ran downstairs to answer the door.","CET4luan_2"
"downward","'daʊnwɚd","向下的","a gentle downward slope","CET4luan_2"
"dozen","'dʌzn","一打，十二个","a dozen eggs","CET4luan_2"
"draft","dræft","草稿；汇票","the rough draft of his new novel","CET4luan_2"
"drag","dræg","拖，拉；拖曳","Inge managed to drag the table into the kitchen.","CET4luan_2"
"dragon","'dræɡən","龙","She worked a dragon on the new linen cloth.","CET4luan_2"
"drain","dren","排去；放水","The swimming pool is drained and cleaned every winter.","CET4luan_2"
"drama",,"戏剧","the great traditions of ancient Greek drama","CET4luan_2"
"dramatic","drə'mætɪk","戏剧的；引人注目的","the amateur dramatic society","CET4luan_2"
"dramatically","drə'mætɪkli","大幅度地；戏剧性地",,"CET6_1"
"drastically","'dræstikəli","激烈地，猛烈地",,"CET6_1"
"draw","drɔ","画，划","Katie had drawn a cottage with a little stream running next to it.","CET4luan_2"
"drawer","drɔr","抽屉","She took a file from her desk drawer .","CET4luan_2"
"drawing","'drɔɪŋ","图画，素描；绘图","a drawing of Canterbury Cathedral","CET4luan_2"
"dread","drɛd","畏惧；恐怖","The prospect of flying filled me with dread .","CET4luan_2"
"dream","drim","梦；梦想","I had lots of dreams last night.","CET4luan_2"
"dress","drɛs","服装","a gentleman in evening dress","CET4luan_2"
"drift","drɪft","漂流；漂泊","Smoke drifted up from the jungle ahead of us.","CET4luan_2,CET6_1"
"drill","drɪl","钻头；操练","an electric drill","CET4luan_2"
"drink","drɪŋk","饮","You should drink plenty of water.","CET4luan_2"
"drip","drɪp","滴下；漏水","The tap’s dripping .","CET4luan_2"
"drive","draɪv","驾驶；打入；驱","Can you drive?","CET4luan_2"
"driver","'draɪvɚ","驾驶员，司机","a taxi driver","CET4luan_2"
"drop","drɑp","使落下；降低","Your button has dropped off.","CET4luan_2"
"dropout","'drɑpaʊt","辍学","a high school dropout","CET6_1"
"drought","draʊt","旱灾，干旱","two years of severe drought","CET4luan_2,CET6_1"
"drown","draʊn","淹死，溺死","Many people drowned when the boat overturned.","CET4luan_2,CET6_1"
"drug","drʌg","药，药物，药材","a drug used in the treatment of cancer","CET4luan_2"
"drum","drʌm","鼓；鼓状物；圆桶","a big bass drum","CET4luan_2"
"drummer","'drʌmɚ","鼓手","He was a drummer in a rock band.","CET6_1"
"drunk","drʌŋk","醉的；陶醉的","You’re drunk.","CET4luan_2"
"dry","draɪ","干的，干燥的","I need to change into some dry clothes .","CET4luan_2"
"duck","dʌk","鸭；中文释义: 雌鸭；鸭肉","Chickens and ducks scratch around the outbuildings.","CET4luan_2"
"due","du","预期的；应给的","The team are due to fly to Italy next month.","CET4luan_2"
"dull","dʌl","枯燥的；不鲜明的","Life is never dull when Elizabeth is here.","CET4luan_2"
"dumb","dʌm","哑的；无言的","She was born deaf and dumb.","CET4luan_2"
"dump","dʌmp","倾卸，倾倒；倾销","Too much toxic waste is being dumped at sea.","CET4luan_2"
"duplicate","'duplɪket","副本，复制品","She kept both the duplicate and the original.","CET6_1"
"duplication",",djʊplɪ'keʃən","复制品","There could be a serious loss of efficiency through unnecessary duplication of resources.","CET6_1"
"durable","'dʊrəbl","耐久的，耐用的","Wood is a durable material.","CET4luan_2"
"duration","du'reʃən","持续，持久","The course is of three years’ duration.","CET4luan_2"
"during","'dʊrɪŋ","在…期间","During the summer she worked as a lifeguard.","CET4luan_2"
"dusk","dʌsk","薄暮，黄昏，幽暗","The street lights go on at dusk.","CET4luan_2"
"dust","dʌst","尘土，灰尘","All the furniture was covered in dust .","CET4luan_2"
"duty","'dʊti","责任；职责；税","I promise I will do my duty .","CET4luan_2"
"dweller","'dwɛlɚ","居住者","City dwellers suffer higher pollution levels.","CET6_1"
"dwelling","'dwɛlɪŋ","住处，寓所","Some 3,500 new dwellings are planned for the area.","CET4luan_2"
"dye","daɪ","染","The women prepared, spun, and dyed the wool.","CET4luan_2"
"dying","'daɪɪŋ","垂死的；临终的","It was her dying wish to have a simple burial.","CET4luan_2"
"dynamic","daɪ'næmɪk","有活力的；动力的","dynamic and ambitious people","CET4luan_2"
"dynamics","daɪ'næmɪks","动力学","And our goal is to find out the time, the dynamics of this problem.","CET6_1"
"dysfunction","dɪs'fʌŋkʃən","失灵",,"CET6_1"
"each","itʃ","各，各自","They reviewed each aspect of the plan bit by bit.","CET4luan_2"
"eager","'igɚ","渴望的，热切的","He’s a bright kid and eager to learn.","CET4luan_2"
"eagle","'igl","鹰","The eagle drooped its wings.","CET4luan_2"
"ear","ɪr","耳朵；听力，听觉","She tucked her hair behind her ears.","CET4luan_2"
"early","'ɝli","早","We arrived early.","CET4luan_2"
"earn","ɝn","赚得，挣得；获得","He earns nearly £20,000 a year.","CET4luan_2"
"earnest","'ɜːnɪst","认真的，诚恳的","a rather earnest young man","CET4luan_2"
"earth","ɝθ","地球；陆地，地面","the planet Earth","CET4luan_2"
"earthquake","'ɝθ'kwek","地震；大震荡","An earthquake measuring 6.1 on the Richter scale struck southern California on June 28.","CET4luan_2"
"ease","iz","容易；舒适","She lived a life of ease.","CET4luan_2"
"easily","'izəli","容易地","They won quite easily.","CET4luan_2"
"east","ist","东；东部","Which way is east?","CET4luan_2"
"eastern","'istɚn","朝东的；东方的","the eastern shore of the island","CET4luan_2"
"easy","'izi","容易的；安逸的","The test was easy.","CET4luan_2"
"eat","it","吃","Felix chatted cheerfully as he ate.","CET4luan_2"
"eccentric","ɪk'sɛntrɪk","古怪的","His eccentric behaviour lost him his job.","CET6_1"
"echo","'ɛko","回声，反响","Her scream was followed by a loud echo.","CET4luan_2,CET6_1"
"ecological","'ikə'lɑdʒɪkl","生态学的","an ecological disaster","CET6_1"
"economic","ˌikəˈnɑmɪk, ˌɛkəˈ-nɑmɪk","经济的，经济学的","Economic growth is slow.","CET4luan_2"
"economical",",ɛkə'nɑmɪkl","节约的；经济的","A small car is more economical to run.","CET4luan_2"
"economy","ɪ'kɑnəmi","经济；节约，节省","a successful economy","CET4luan_2"
"ecosystem","'ɛko,sɪstəm","生态系统","...the forest ecosystem.","CET6_1"
"edge","ɛdʒ","边缘，边；刀口","Put the eggs in the centre of the dish, with the vegetables and herbs around the edge.","CET4luan_2"
"edit","'ɛdɪt","剪辑，编辑","The newspaper edits letters before printing them.","CET6_1"
"edition","ɪ'dɪʃən","版本；版；版次","a paperback edition","CET4luan_2"
"editor","'ɛdɪtɚ","编辑，编者，校订者","the editor of the Daily Telegraph","CET4luan_2"
"educate","'ɛdʒuket","教育；培养；训练；教导","The Ormerod School educates handicapped children.","CET4luan_2"
"education",",ɛdʒu'keʃən","教育；训导","She also hopes her children will get a good education.","CET4luan_2"
"effect","ɪ'fɛkt","结果；效果，效力","the long-term effects of the drug","CET4luan_2"
"effective","ɪ'fɛktɪv","有效的；有影响的","The cheaper drugs are just as effective in treating arthritis.","CET4luan_2"
"efficiency","ɪ'fɪʃənsi","效率；效能；功效","considerable advancements in energy efficiency","CET4luan_2"
"efficient","ɪ'fɪʃnt","效率高的，有能力的","a very efficient secretary","CET4luan_2"
"effort","'ɛfɚt","努力；努力的成果","Lou lifted the box easily, without using much effort.","CET4luan_2"
"egg","ɛɡ","蛋，卵；蛋，鸡蛋","Blackbirds lay their eggs in March.","CET4luan_2"
"eight","et","八，八个","It’s only eight days till Christmas.","CET4luan_2"
"eighteen",",e'tin","十八，十八个","At least eighteen bullets were fired.","CET4luan_2"
